navn,symbol,storkreds,kmeans,x,y,x_pca,y_pca,y2_pca
Jens Kindberg,C,Nordjyllands Storkreds,C,23.74683,0.5754511,6.291143687398228,-0.8791201449196538,-2.8214282399469566
Jens Salling,C,Østjyllands Storkreds,V,25.869761999999998,2.6988225,7.907978690464144,1.7160888569028137,-1.2097272384404374
Jens Erik Damgaard,K,Vestjyllands Storkreds,K,-4.27224,9.221756,1.141145898106367,-0.6904638788283923,-1.2856422317968705
Jens Henrik Thulesen Dahl,O,Fyns Storkreds,O,29.95696,-16.07575,4.437661871924614,-5.231516259511291,1.1666982753660562
Jens Jonatan Steen,S,Sydjyllands Storkreds,S,-13.213359,-11.206291,-3.5558925308179816,-3.038672976199431,1.2607746557982074
Jens Kristian  Nielsen,K,Vestjyllands Storkreds,K,-5.0151486,7.0775166,-0.6980332868899589,-3.0186824798699625,1.2138759114732254
Jens Martin Fjordbak,C,Nordjyllands Storkreds,C,23.094147,5.734858999999999,2.760263712455762,0.39813599852386505,-3.1506976934348847
Jens Ole  Madsen,K,Fyns Storkreds,K,-4.558519,9.227132000000001,0.01958700068377276,-1.4059988201854594,-3.199797939846312
Jens-Henrik Kirk,C,Nordjyllands Storkreds,C,-2.9053652000000003,4.947242299999999,2.5072096242456183,0.2826320629063273,-3.974176472581668
Jens-Kristian Lütken,V,Københavns Storkreds,C,19.928452,4.226626,4.805397275653042,0.9637560896126857,-3.5730774926590847
Jeppe H. Lindberg,I,Sjællands Storkreds,I,31.796509999999998,15.887781,6.725309345931648,7.011768363899982,0.5785510013815198
Jeppe Fransson,B,Københavns Storkreds,B,-23.303398,3.9213430000000002,-6.698445894770091,3.4010915503806016,-0.7281677615429476
Jeppe Sørensen,B,Sjællands Storkreds,S,-15.893293,-12.585224,-0.717682219791531,-1.173600254467863,-0.7847241070258756
Jeppe Trolle,B,Sjællands Storkreds,Å,-26.901243,8.46926,-6.832223052596465,1.8216566841055126,-1.127922856721964
