navn,symbol,storkreds,kmeans,x,y,x_pca,y_pca,y2_pca
Lisa Skov,C,Københavns Omegns Storkreds,C,18.869888,5.6900277,5.320053031804179,1.4560863569026583,-2.11732655484071
Lisbeth Bech Poulsen,F,Nordjyllands Storkreds,F,-30.954187,-0.5014946,-6.552614750095644,-0.3314405611898609,0.8269546891855597
Lise Müller,F,Nordsjællands Storkreds,F,-24.647219,1.1055399,-6.8681715347673435,0.4742549998146917,0.5486714185181887
Lise Bech,O,Nordjyllands Storkreds,O,31.872553000000003,-13.2996855,8.320198724151332,-3.9475339231280793,2.4031569473681005
Liselott Blixt,O,Sjællands Storkreds,O,29.990156,-12.620474,6.52286033846697,-3.8406794732435126,3.743473727776074
Liselotte Lynge Jensen,O,Vestjyllands Storkreds,O,30.772140000000004,-8.8693905,5.3310844515905345,-4.180229888772123,2.8377749779242607
Lone Madsen,D,Københavns Omegns Storkreds,D,40.98662,-0.5640284999999999,8.088180317719727,1.876868695833602,2.553659721274833
Lotte Rod,B,Sydjyllands Storkreds,B,-20.576061,4.1275262999999995,-6.173533544661731,0.8524598794640453,-0.3736082994629214
Louis Jacobsen,Ø,Københavns Storkreds,Ø,-39.067116,-10.657703,-6.297467751679447,-0.14090791780870873,2.494000340192171
Louise Romsdal,F,Københavns Storkreds,F,-24.308949,-1.9577426,-6.2791227427245575,-0.5433680191839974,0.9340444627567595
Louise Vinther Alis,B,Københavns Storkreds,Å,-27.721777000000003,6.207042700000001,-6.3656324292275315,1.63119555333131,-1.4998840233240733
Louise Schack Elholm,V,Sjællands Storkreds,V,16.172462,-1.8649061999999998,6.039344420626382,-1.381358935516199,-2.773525456125753
Lucas Antonio Madsen,F,Nordsjællands Storkreds,K,-14.064729999999999,-0.0016147428,-2.2893811691546038,-0.07491479912382437,-0.3143993004252062
Mads Andersen,C,Sjællands Storkreds,C,22.592394,3.0548344,4.263576309315699,-1.2958793030964617,-1.3195763203100688
Mads Fuglede,V,Københavns Omegns Storkreds,V,16.614006,-3.5238062999999995,6.0002547508430695,-2.2738194454482685,-3.7588674297956137
Mads Høj Jørgensen,B,Københavns Omegns Storkreds,B,-17.25265,9.21524,-4.716271268636819,1.209263295483273,-1.5555539925889135
Mads Palsvig,UP,Københavns Omegns Storkreds,B,-14.297685999999999,2.0581753000000003,-2.2532014084457,2.849527103590281,3.1159462770461817
Magnus Heunicke,S,Sjællands Storkreds,S,-9.718389,-9.314617,-1.9930768388018973,-4.738633604635162,-1.0043392630522936
Mai Mercado,C,Fyns Storkreds,C,17.553137,2.2218874,6.425509110395683,-0.2376364088507457,-3.4978208193654603
Mai Villadsen,Ø,Nordsjællands Storkreds,Ø,-36.869021999999994,-8.51747,-6.892359012186521,0.4174129960820701,2.6372780621792287
Maja Albrechtsen,Ø,Østjyllands Storkreds,Ø,-38.688084,-5.026960400000001,-5.132019954374227,0.18498413248768178,3.0365616759526195
Maja Torp,V,Nordjyllands Storkreds,V,23.125595,7.558795,3.826027978270353,2.0491533994322038,-0.9699449419281031
Malene Erenskjold,Ø,Østjyllands Storkreds,Ø,-21.525335000000002,-9.741314,-4.6109391990404545,-0.1247928089362595,1.262254964875188
Malte Bang,Ø,Vestjyllands Storkreds,Ø,-37.21267,0.7610501999999999,-7.322893450211118,0.8131296438953979,1.9217447703793074
Malte Larsen,S,Østjyllands Storkreds,F,-16.045906,-9.901045,-4.380363116505354,-1.6827742123429272,0.6936575919637951
Malthe Johan Poulsen,S,Københavns Omegns Storkreds,S,-11.2473,-4.351580599999999,-2.707830041121017,-2.9598399905587915,0.34727042232299926
Marcus Knuth,V,Sjællands Storkreds,V,24.695084,0.65089417,7.164863259143637,-0.47003599791367356,-1.1234407489570009
Margit Lund-Cramer,K,Fyns Storkreds,K,-13.941464999999999,-2.129591,-2.957276293146155,-1.6248624303137595,-3.3604562825258
Margrethe Agerup Præst,C,Vestjyllands Storkreds,V,22.635366,2.1786695,5.346802898032435,-2.099478449692111,-1.8072773475977368
Maria Hach,Å,Bornholms Storkreds,Å,-30.373493,5.880406,-4.1747225851371725,2.1247414865031575,0.6777794684630406
Maria Temponeras,Ø,Østjyllands Storkreds,Ø,-39.084503000000005,-6.1329074,-7.780125884241882,2.534730618750646,2.1629844420296327
Maria Durhuus,S,Københavns Omegns Storkreds,S,-12.564024,-9.841446000000001,-3.766983697643544,-4.595532931071338,-1.2992042520057425
Maria Gudme,S,Nordsjællands Storkreds,S,-17.406754,-4.1207714,-4.730002865338213,-2.4368893041935955,0.4535348347527082
Maria Dahl Hedegaard,I,Fyns Storkreds,I,30.64702,15.756345999999999,5.924309449120527,6.523346437161779,0.44346482499583245
Maria Terese Fog Bartholdy,E,Nordjyllands Storkreds,B,-11.973107,-0.9684389000000001,-1.924731643069407,1.4068455736352448,0.24741375922072156
Marianne Karlsmose,K,Sydjyllands Storkreds,K,-9.506208,7.3353410000000006,-3.579211650943218,-0.7141397657514986,-3.2618177515846716
Marianne Jelved,B,Nordjyllands Storkreds,K,-10.476186,8.287382000000001,-3.3203008770700904,-0.1391669026560006,-3.3268136907440495
Marianne Mulle Jensen,B,Nordjyllands Storkreds,S,-14.326073000000001,-2.9677097999999997,-3.548494289073302,-1.704374675616307,-2.515388370738109
Marianne Bigum,F,Københavns Omegns Storkreds,F,-25.665894,-2.7558515,-7.772690940212018,-0.8044606379070007,0.11911231393950861
Marianne  Victor Hansen,Å,Københavns Omegns Storkreds,Å,-27.701736,8.034634,-6.979492849244681,1.4273852274837826,-0.24391009274661676
Marie Krarup,O,Sydjyllands Storkreds,O,32.185190000000006,-11.947366,6.213077897573181,-3.2167156903032272,2.1479536976785893
Marie Bjerre,V,Nordjyllands Storkreds,V,26.080292,8.5014305,4.6008369790484265,3.031776908575955,-0.6365315550825476
Marie Høgh,C,Københavns Storkreds,C,24.994331,-3.3599547999999997,7.392304696599261,1.3634329252573412,-1.3583321524935312
Mark Grossmann,V,Fyns Storkreds,O,28.434855,-6.623775,4.782087837672569,-0.43112778462680285,1.8328883568570085
Marlene Ambo-Rasmussen,V,Fyns Storkreds,O,29.888603000000003,-4.4692636,5.032532177490988,-0.7523553194458836,2.9127753255794637
Marlene Harpsøe,O,Nordsjællands Storkreds,O,29.415034999999996,-10.363436,4.598599612996752,-2.9843405114531216,2.508807372933964
Martin Henriksen,O,Københavns Storkreds,O,30.768459999999997,-13.614923999999998,6.81256188706965,-4.397404874050576,2.3930949211208734
Martin Lidegaard,B,Nordsjællands Storkreds,B,-17.065205,9.221327,-3.512478981119206,1.0519355666270855,-1.881500809779775
Martin Geertsen,V,Københavns Storkreds,C,16.290827,6.264357,6.045225332433802,2.837546251313237,-2.6644144684566298
Martin Knudsen,D,Sjællands Storkreds,D,39.81523,1.9182229,6.993388102316874,1.7224913215491788,1.772754390759537
Martin Paetau,D,Fyns Storkreds,D,42.840973,-1.5763531000000002,8.352851549075123,0.9523324931306459,2.3872873659182945
Martin Graff Jørgensen,Ø,Sjællands Storkreds,Ø,-33.106120000000004,-7.068198700000001,-7.257982183365428,0.8195489418906087,1.836353521474069
Martin Nordstjerne Rasmussen,E,Sjællands Storkreds,C,-19.006982999999998,-11.832694,0.6064300691327098,2.151520461191351,1.2123846583665818
Martin Ancher,I,Københavns Storkreds,I,31.95235,13.56904,8.33832788117584,4.117227369327557,0.979461992074146
Martin Rask Olsen,K,Nordsjællands Storkreds,C,12.048413,4.551775,1.6354754785319265,2.0549867829872275,-0.6903705885483147
Martin Boye,I,Sydjyllands Storkreds,D,41.494392,3.3942037000000003,5.984386725157091,4.642844320029068,1.2911432497097162
Martin K. Madsen,I,Nordjyllands Storkreds,I,32.27797,18.330368,7.046865215464339,7.039984375421512,1.1561967060172489
Mathias D. Christiansen,Ø,Sydjyllands Storkreds,Ø,-40.419403,-7.292279700000001,-7.572145247723631,1.62288440555252,4.474492759656805
Mathilde Vinther,Ø,Sjællands Storkreds,Ø,-36.421562,-10.760927,-6.861319984078029,1.1937134712916693,2.18397181237429
Mattias Tesfaye,S,Københavns Omegns Storkreds,S,-10.01796,-5.0479665,-1.591168183776013,-4.30740211214627,-0.06472950842790641
Maya Ryom,Ø,Sydjyllands Storkreds,Ø,-35.062884999999994,-9.800393,-7.229461165076927,0.32656758550154263,2.848978971555966
May-Britt Kattrup,I,Nordsjællands Storkreds,I,31.007672999999997,16.609644,6.19365495507719,6.731854594758059,0.3050162399168029
Mehmet Zeki Dogru,Ø,Sjællands Storkreds,Ø,-34.52937,-10.476443,-7.506148190744325,0.6319680580268675,3.6028124495197886
Melissa Skovgaard Jensen,F,Københavns Storkreds,B,-17.301542,6.204285,-4.51129260928762,-0.18198870218865668,-0.7868093476782249
Merete Dea Larsen,O,Sjællands Storkreds,O,31.570312,-15.164887,7.204211849055379,-2.298299791745502,1.0552485296280036
Merete Scheelsbeck,C,Københavns Omegns Storkreds,C,14.808144,5.2579374,4.881294577338038,2.3833340214462595,-4.851798905022721
Merete Mogensen,K,Sydjyllands Storkreds,K,-9.261625,7.7393303,-2.3842203020769364,-0.8253282337912732,-3.1981500405716026
Mette Qwinten,O,Københavns Omegns Storkreds,O,26.503398999999998,-11.473309,3.040284995387149,-5.521912669805189,3.0959619027203136
Mette Kaasfeldt Bram,Å,Sydjyllands Storkreds,Å,-37.091590000000004,1.21391,-5.362516369020205,0.7928918907572137,1.3639750215872934
Mette Frederiksen,S,Nordjyllands Storkreds,S,-8.459897999999999,-8.333279,-0.6858766385907806,-4.815556010157706,-1.0726813699128817
Mette Hjermind Dencker,O,Østjyllands Storkreds,O,34.839058,-15.480523000000002,8.718687982106255,-2.207807283785013,2.5813773990280264
Mette Reissmann,S,Københavns Storkreds,S,-15.513902999999999,-6.563403999999999,-3.975737252224501,-2.495073862426917,0.06872992330847402
Mette Gjerskov,S,Sjællands Storkreds,S,-13.361954999999998,13.5581665,-3.1711486740928665,-1.1279430817492766,-0.5599497991039025
Mette Nielsen,S,Vestjyllands Storkreds,S,-11.517911,-11.635155000000001,-1.3757091920853421,-3.9712015384939527,1.001508478147904
Mette Bang Larsen,Ø,Københavns Storkreds,Ø,-36.819195,-6.554191,-7.757005638097442,1.0861903517158118,2.6916930376739985
Mette  Rose Nielsen,Å,Københavns Storkreds,Å,-32.306984,7.666038499999999,-6.200738728586788,0.6471453862986134,-0.7914738664338548
Mette  Rahbek,Å,Fyns Storkreds,F,-30.462053000000004,-3.7483747000000003,-8.40195813497142,-0.5008592302680317,1.262153280515231
Mette Thiesen,D,Nordsjællands Storkreds,D,42.386326000000004,-1.6063548,8.174495334280476,1.3275976429899068,1.5052854768434334
Mette Abildgaard,C,Nordsjællands Storkreds,C,14.942509,3.66048,6.358277369162532,-0.3655562061818343,-4.249270178480377
Mette Annelie Rasmussen,B,Københavns Storkreds,Å,-22.771901999999997,10.084634,-5.594100713339812,3.6251179586811584,-1.3245916632540367
Mia Tang,C,Nordjyllands Storkreds,C,23.102314,3.3099300000000005,5.53175441156418,-0.030194479946609953,-2.651015568915373
Michael Melchert,I,Københavns Omegns Storkreds,I,35.4391,2.6000443,4.950174159075561,3.097350739632261,3.828905257604655
Michael Jensen,K,Fyns Storkreds,K,-5.967983,8.712566,-0.5288881268357044,-0.8723057648122582,-1.1837792556198181
Michael Johansen,B,Østjyllands Storkreds,B,-15.216574,-2.2692125,-3.580800455167378,-0.8096352066630663,-2.336342320780282
Michael Nedersøe,O,Østjyllands Storkreds,O,28.275282,-11.114367999999999,6.0706003971288585,-3.2879901591271077,3.615955563216919
Michael Aastrup Jensen,V,Østjyllands Storkreds,V,23.990381,1.0176544,8.201327495678202,-1.0225744522346716,-1.3700561441039862
Michael Lange,V,Københavns Storkreds,C,23.742183999999998,-0.84151196,3.5821730401717238,-0.701605358947081,-1.1452207916355788
Michael Neumann,Ø,Københavns Storkreds,Ø,-36.148293,-9.549825,-7.467241218779359,1.129145045746637,4.092022396628578
Michael Graakjær,F,Sjællands Storkreds,F,-26.867672,-3.4106877,-8.49855048948311,0.46387713467288766,1.0915620224976683
Michael Mads Suhr,C,Sjællands Storkreds,C,27.51088,1.5061721000000001,4.236297632319838,-1.4961721209029042,-0.08698355142733952
Miki Dam Larsen,S,Nordsjællands Storkreds,F,-24.022579999999998,0.33506405,-6.196399072126547,0.2962459664863357,0.02749001484218777
Mikkel Dencker,O,Københavns Omegns Storkreds,O,29.751167,-14.747495,6.4677992704397855,-4.901434533172466,1.427683137527727
Mikkel Molin,V,Københavns Omegns Storkreds,V,29.901213000000002,-2.6002723999999997,6.371584304678647,1.3986137982205027,0.14906611118317972
Mikkel  Holm-Pedersen,Å,Fyns Storkreds,Å,-24.728735,3.1206646,-7.095204167078301,1.0504955471774522,-0.7250759326744268
Mikkel Ammitzböll,F,Sydjyllands Storkreds,B,-22.570713,5.223567500000001,-5.310254874511858,0.05194869820852075,-0.20933856559754566
Mikkel Bjørn Sørensen,D,Sydjyllands Storkreds,D,43.858368,-0.6642829,8.182877828692734,1.6410227732570593,2.4278374509259253
Mira Issa  Bloch,Å,Østjyllands Storkreds,Å,-32.416503999999996,9.132585,-5.741617996992189,0.6763615025715763,-0.35090098362931577
Mogens Birkelund,E,Østjyllands Storkreds,K,-11.723489,0.8885304,-0.06105321232368473,1.8875877538694148,-1.263937142848115
Mogens  Jensen,S,Vestjyllands Storkreds,S,-8.3868,-8.027429,-1.0614551833269028,-4.514142972168851,-0.8571220879553676
Mogens J. Dall,V,Sydjyllands Storkreds,V,29.591666999999998,0.306608,4.313975965673913,-1.8684151631426937,-2.0035720146188387
Mogens Stig Møller,F,Sjællands Storkreds,F,-25.931591,-4.608664,-7.602023382297776,0.26368816706061515,0.6039828193952902
Mona Juul,C,Østjyllands Storkreds,C,14.127347,4.851273,3.972452631768562,1.1897126022002409,-3.5448757234157515
Morten Thiessen,C,Nordjyllands Storkreds,D,41.32164,-2.931559,6.964291495582024,-0.2881113351424551,0.7344580782503775
Morten Siig Henriksen,F,Østjyllands Storkreds,F,-29.818914000000003,-1.2228566,-7.558750195276399,-0.4112448415321035,0.9084344292687649
Morten Riis,Ø,Bornholms Storkreds,Ø,-36.776509999999995,-10.867695,-7.187333752117975,1.1025370228615996,2.0740333893958054
Morten Dahlin,V,Sjællands Storkreds,V,26.702213,7.5619119999999995,6.723114273781938,1.4872207066190597,0.7688705475280074
Morten Bødskov,S,Københavns Omegns Storkreds,S,-8.621547999999999,-8.573339,-0.8207561761178706,-5.025484258743913,-0.9081543413629999
Morten Messerschmidt,O,Nordsjællands Storkreds,O,28.027541999999997,-10.689324000000001,5.555214991195461,-3.100081889611229,1.923952560431412
Morten Kjær Sørensen,B,Østjyllands Storkreds,Å,-34.467182,-3.711472,-4.323520654764917,2.474630801313117,1.6660612524968774
Morten Østergaard,B,Østjyllands Storkreds,B,-17.634424,7.8247184999999995,-5.875408829285021,1.9451889790210748,-1.822612721169366
Morten Marinus,O,Nordjyllands Storkreds,O,27.938387,-11.692908000000001,5.52702379672712,-2.634563578641607,3.4959420174524207
Morten Filipsen,D,Sydjyllands Storkreds,D,41.301327,0.08793314,8.17922127517379,2.099603718727002,2.69585475362831
Morten Kristoffer Hansen,I,Københavns Omegns Storkreds,I,30.709120000000002,16.962618,5.792048749411281,7.480952480302584,0.4613113556382361
Nanna Bock,K,Københavns Storkreds,B,-16.232807,0.33589455,-4.666857219340854,-0.09628357378536427,0.20573566769713283
Nanna Dreyer Nørholm,B,Sydjyllands Storkreds,B,-16.84304,3.7762727999999997,-4.006364883439539,1.4381066407786451,-1.4224155196177133
Nanna  Bonde,F,Sydjyllands Storkreds,F,-30.183233,-3.5039272000000006,-8.189396479644582,-0.17049274002451834,0.9290035342859736
Naser Khader,C,Sjællands Storkreds,C,15.508409,3.2373402000000002,6.838422029371871,-0.46384088279446917,-3.943370665216098
Nick Hækkerup,S,Nordsjællands Storkreds,S,-10.6413765,-7.453276,-2.041216026331546,-2.909290904830113,-0.30757394269191557
Nick Zimmermann,O,Østjyllands Storkreds,O,28.376219,-15.433971,5.792432928293393,-5.386500908086468,2.0820216299439327
Nick Mogensen,D,Vestjyllands Storkreds,D,40.066159999999996,4.2153997,3.728271216622598,2.226602366331753,2.9220577864931374
Nicklas  Stampe Raabjerg,Å,Vestjyllands Storkreds,Å,-27.156563000000002,5.1642942000000005,-5.773301728944513,1.973654347599573,-0.1799781226409353
Niclas Fick,Ø,Bornholms Storkreds,F,-26.263737,1.0464011,-6.818594440400688,-0.2522193308104059,-0.49934587099561895
Nicolai Wammen,S,Østjyllands Storkreds,S,-8.459186,-8.33332,-0.6858766385907806,-4.815556010157706,-1.0726813699128817
Nicolaj Dupont,I,Vestjyllands Storkreds,I,32.93979,16.688485999999997,6.59546396989184,7.10302910547943,1.2721511537311974
Niels  Christiansen,Å,Østjyllands Storkreds,Å,-25.544453,-0.8343259,-6.697500963417997,-0.4827823249433281,0.2416792744153053
Niels Arbøl,B,Nordjyllands Storkreds,B,-17.49409,11.156393,-2.8337635342139844,1.8031277112370567,-3.35976769588565
Niels Callesøe,F,Østjyllands Storkreds,F,-26.524137,-5.197446299999999,-6.80520025954693,-0.09818416428397277,0.8927289543711397
Niels Børge Eriksen,D,Østjyllands Storkreds,D,41.872859999999996,0.4919326,8.17922127517379,2.099603718727002,2.69585475362831
Niels Christensen,D,Nordjyllands Storkreds,D,38.405487,0.99944925,8.443919033275781,1.193956501519204,1.716924805851177
Niels Rosenberg,C,Østjyllands Storkreds,C,24.375320000000002,2.3576736,2.7222292474115175,-1.1803419948687524,-1.2002258540991164
Niels Chresten Andersen,K,Bornholms Storkreds,K,-8.305286,6.699366,-2.031306042457103,-0.1282015606570814,-2.6716852615259605
Niels Christian Barkholt,F,Københavns Omegns Storkreds,F,-27.236382,-0.6370762,-7.9307268092408,0.9667558618634128,0.5261098886523736
Niels E. Bjerrum,S,Københavns Storkreds,F,-22.146908,-2.583748,-5.855309153424532,-0.7119438031312363,-0.13274676792629236
Niels Flemming Hansen,C,Sydjyllands Storkreds,C,23.94877,3.9276936,5.851546676649604,-0.6305601025079527,-2.6638017196382475
Niels Ole Beck,S,Sydjyllands Storkreds,S,-6.8651943,-8.863028,-2.2506321419822863,-5.590975731564045,-1.6682243010369655
Niels-Christian  Braad,D,Østjyllands Storkreds,D,41.40764,-3.7785654,6.009678849496647,-1.4858761341509668,2.2230919135793625
Nikolaj Bøgh,C,Københavns Storkreds,C,17.31031,5.950506,5.240945452481237,0.9950697422657789,-1.965978583142524
Nikolaj Villumsen,Ø,Østjyllands Storkreds,Ø,-35.869785,-11.020353,-6.574752609679307,1.1420928524077927,1.970634103411302
Nikolaj Vester,I,Københavns Omegns Storkreds,I,29.344915000000004,18.794031,4.822681822246914,7.483510208491307,3.4675098877606336
Nilas  Bay Foged,Å,Østjyllands Storkreds,Å,-27.952427,8.819467,-7.563932801945964,2.1229968879405434,-1.077281787815663
Nils Sjøberg,B,Sydjyllands Storkreds,B,-13.028926,2.8474619999999997,-1.9886935280137734,1.532544029682431,-0.18011559504666466
Nils-Erik Mulvad,K,Østjyllands Storkreds,K,-10.398887,5.25901,-2.9103147640647427,-3.7305862251961384,-0.08127667523170304
Nina Froberg,D,Nordsjællands Storkreds,D,42.347042,0.6615548000000001,8.045835108999508,2.0355946101043307,2.6742338695621948
Nina Svane-Mikkelsen,Å,Københavns Storkreds,Å,-32.623337,7.884769,-6.154840240228963,1.9135987845566678,-1.0219438296873846
Ole Lynggaard Jørgensen,B,Sydjyllands Storkreds,B,-12.585443,8.916580999999999,-4.159108957544362,-1.2445744596245616,-3.0281221076915807
Ole Revsgaard Andersen,O,Østjyllands Storkreds,D,33.704197,1.4761558000000001,4.253745857947496,1.5009915295226366,2.160834547823835
Ole Pedersen,V,Fyns Storkreds,V,23.118614,1.6996354,3.596747507509259,-0.3076527176343049,-1.7498480385191586
Ole Birk Olesen ,I,Østjyllands Storkreds,I,31.305513,12.596963,7.929458153066426,4.309055357275068,0.3145068706454557
Ole Holleufer,I,Nordsjællands Storkreds,I,32.292206,19.7267,5.0483775028656535,6.0100542885183605,0.9644333369082501
Orla Hav,S,Nordjyllands Storkreds,S,-9.530186,-6.427795,-1.0934258946896385,-3.3340467100385958,-1.0047980727440284
Orla Østerby,C,Vestjyllands Storkreds,C,19.75194,1.3720442,5.279516343246396,-0.18931193272408003,-3.3863610233080976
Otto B. Christiansen,C,Nordsjællands Storkreds,C,18.725582,6.640707000000001,6.977729079928498,1.9627608647509376,-2.393094265877769
Palle Lykke Ravn,S,Vestjyllands Storkreds,S,-7.136409,-8.4874935,-1.4613021731362674,-5.1819455215602135,-1.1992630484926117
Paw Karslund,O,Københavns Storkreds,O,38.487320000000004,5.267361,2.161343201547626,-2.0398179049415948,3.418868181562278
Paw Hedegaard Amdisen,F,Østjyllands Storkreds,F,-23.058006,-6.199454,-5.113461873908077,-0.9065057446261755,0.9931625979765444
Peder Hvelplund,Ø,Nordjyllands Storkreds,Ø,-36.060547,-11.651844,-7.269328300696783,0.824759882693302,3.1733479137845393
Peder Meyhoff,Ø,Østjyllands Storkreds,F,-29.947613,-6.5299435,-7.024802382723401,-0.14470294909362216,1.5069900689898552
Per Larsen,C,Nordjyllands Storkreds,V,26.450723999999997,-1.0931953,7.332028132704269,0.008140154571126709,-1.6209594943550012
Per Møller,C,Nordjyllands Storkreds,V,19.035975,2.3281422000000003,7.1465160810575945,-0.42976156580423314,-3.157253329675882
Per B. Frostholm,D,Sydjyllands Storkreds,D,39.11714,0.47228387,8.468974422632904,1.6329538199685636,2.6366755465144407
Per Frost Henriksen,S,Nordsjællands Storkreds,S,-13.747976999999999,13.410749,-1.2931871933140968,-2.002484081401023,0.07834898478404695
Per Husted,S,Nordjyllands Storkreds,S,-6.2908974,-7.9616804000000005,-1.4589574681275874,-4.708870049126229,-0.5048182552915387
Per Nansted,K,Fyns Storkreds,K,-6.457634,6.320175,-1.006065677297072,-0.403533891440128,-1.737126132614791
Per Kristensen,K,Sjællands Storkreds,K,-6.253548599999999,9.464683,-0.33113595795323686,-2.194488129897105,-0.6523500462129405
Pernille Schwaner,I,Sydjyllands Storkreds,I,30.583292,13.619792000000002,5.451919855149464,5.847255393641014,-0.16078550791844606
Pernille Rosenkrantz-Theil,S,Københavns Storkreds,S,-16.613201,-6.213633,-3.7190568949601444,-3.6190479378336025,1.5709323635136834
Pernille Bendixen,O,Fyns Storkreds,O,30.079958,-14.798834,7.324493815041728,-4.771929758278827,2.5172520438218586
Pernille Vermund,D,Sydjyllands Storkreds,D,42.156815,2.2331686,7.259846363225777,3.3825169881293697,3.033933905360924
Pernille Skipper,Ø,Københavns Storkreds,Ø,-36.184597,-10.75873,-6.680487313571191,1.0300678647160577,1.9412762906499783
Petar Socevic,B,Københavns Omegns Storkreds,B,-30.799177,12.132836,-6.690095630985525,2.300339713509516,-1.4142652434769565
Peter Skaarup,O,Københavns Storkreds,O,32.224064,-13.617773000000001,6.913560227949802,-4.807783559354841,1.1226520743149504
Peter Sørensen,O,Nordjyllands Storkreds,O,28.92162,-6.2421045,5.996667643765246,-1.4208283235603347,2.2499594937958944
Peter Hummelgaard,S,Københavns Storkreds,S,-10.590117,-4.9762635,-3.031359227280298,-3.6493351492918795,-0.629846538047288
Peter Juel Jensen,V,Bornholms Storkreds,V,16.793732000000002,-2.3029313,6.674783346284117,-2.5916620560534467,-2.8677673871468965
Peter Nowack,F,Vestjyllands Storkreds,S,-19.326567,-6.3203835,-4.847069674594513,-3.136325300054468,0.46127819097507283
Peter Seier Christensen,D,Sjællands Storkreds,D,40.511134999999996,-2.4147800999999998,8.354486896970032,0.8228804781583533,2.100760638555521
Peter Grydehøj,D,Vestjyllands Storkreds,D,42.409267,-1.0422087,8.430970580102239,1.3821090458083585,2.155582674064571
Peter Stakemann,C,Københavns Storkreds,C,17.434679,6.1084294,4.90569056891019,1.3454985356449944,-1.7527085923727004
Peter  Barner Steinbrenner,Å,Østjyllands Storkreds,B,-19.779251000000002,6.0376735,-4.5829391297861966,1.1085475411426868,-1.154790214902039
Peter  Kjær Hansen,Å,Sjællands Storkreds,Å,-29.46135,2.5877771000000003,-7.538291031402161,1.1902110028115969,-0.27526785302526924
Peter Hjorth,E,Københavns Omegns Storkreds,C,10.605417,0.67358816,4.4002783863268915,0.8351080956162917,0.027633500214610196
Peter Martin Pedersen,E,Sydjyllands Storkreds,B,-12.337197,2.2479749,-0.6877779456359149,1.3731939706754372,0.4279492126265475
Philip Brandt,D,Bornholms Storkreds,D,36.961452,-3.0850612999999996,9.030626000648232,2.0251983520306522,3.1265661871681276
Philip Tietje,V,Sydjyllands Storkreds,V,26.904224,12.584936,3.381589221209968,2.8272977359296236,-2.9189128643460225
Pia Kjærsgaard,O,Københavns Omegns Storkreds,O,32.445679999999996,-14.810093,8.108216780767275,-3.60873800688995,0.31565335674591016
Pia Olivia Christensen,C,Vestjyllands Storkreds,C,10.598589,-0.44606504,2.555800803577321,-1.4054486301161346,-2.0223566658080534
Pia Olsen Dyhr,F,Københavns Storkreds,F,-26.17386,-2.2315717,-7.159791892360664,-0.8905796907283728,0.4407581522932637
Poul Cullura,O,Nordsjællands Storkreds,O,31.12749,-16.724152,6.774336203136287,-4.564484912631567,0.8166752027407658
Poul Højlund,D,Nordjyllands Storkreds,D,43.054546,0.6790045,8.579123200638321,2.466197255190848,2.2535845952135722
Poul Elmegaard,B,Vestjyllands Storkreds,B,-16.508766,6.916421400000001,-5.235410678518032,0.5304996936645193,-2.22975347072801
Poul-Erik Andersen,Ø,Nordjyllands Storkreds,Ø,-35.72227,-9.316552,-7.4484631157912755,0.34736727849787574,3.6562976492784784
Preben Bang Henriksen,V,Nordjyllands Storkreds,V,26.689853999999997,-2.6460724,6.486972476723247,-0.8357568585025382,-1.2689800773601763
Rasmus Paludan,P,Sjællands Storkreds,D,37.92937,-3.068952,7.678902862429309,0.27029608227024754,5.26134968952431
Rasmus  Nordqvist,Å,Sjællands Storkreds,Å,-28.550486,9.092169,-7.90178367731982,2.7378302346076286,-1.005011928945441
Rasmus Foged,Å,Østjyllands Storkreds,Å,-24.00181,6.389850599999999,-6.3838808869118395,0.9941127462764306,-1.400282684672611
Rasmus Brandstrup Larsen,V,Sjællands Storkreds,C,23.385012,7.410417,4.039885944799201,1.389947345570552,-3.18147491893104
Rasmus Prehn,S,Nordjyllands Storkreds,S,-8.371327,-7.063728,-1.1699996346969446,-4.440219404017596,-0.5146728062018918
Rasmus Horn Langhoff,S,Sjællands Storkreds,S,-7.180864,-10.303807,-1.6351575555051965,-5.586706494364395,-0.8941674361667412
Rasmus Bach Krabbe,B,Vestjyllands Storkreds,B,-17.689487,3.4892227999999994,-4.748956901678341,1.4494454471450964,-1.7363661868022786
Rasmus Helveg Petersen,B,Fyns Storkreds,B,-17.028639000000002,7.484043600000001,-5.246553605701423,1.2934211301424736,-2.127408481167821
Rasmus Stoklund,S,Nordsjællands Storkreds,S,-8.633061,-3.4773419999999997,-0.490948561992546,-1.9664823633456885,-0.1931675368976775
Rasmus Steenberger,F,Københavns Storkreds,F,-26.803435999999998,-2.9748213,-7.503635453375416,0.2609248843849334,1.6313082205593799
Rasmus Vestergaard Madsen,Ø,Sydjyllands Storkreds,Ø,-35.46321,-5.477761,-7.891734730273531,0.6701106044889497,2.945232214997787
Rasmus Norup,C,Vestjyllands Storkreds,V,21.120179999999998,2.4331080000000003,5.383728463961654,0.4226175507719405,-3.35291333663463
Rasmus Jarlov,C,Københavns Omegns Storkreds,C,16.057053,5.2260230000000005,6.9503891346184075,0.48384372290504707,-2.6939646496457175
Rasmus Peter Henriksen,F,Fyns Storkreds,F,-29.144934000000003,-6.096578599999999,-7.714251131738862,-0.34226863660112056,1.3871755084525885
